sample	assembly	replicate	condition	batch	source	original_timepoint	mpf	hpf	stage
GSM1606183	Xenopus_tropicalis_v9.1		stage8	owens_clutchA_polyA_run1	owens	ClutchA_polyA_4_hpf	240	4.0	stage8
GSM1606184	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_4.5_hpf	270	4.5	stage9
GSM1606185	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_5_hpf	300	5.0	stage9
GSM1606186	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_5.5_hpf	330	5.5	stage9
GSM1606187	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_6_hpf	360	6.0	stage9
GSM1606188	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_polyA_run1	owens	ClutchA_polyA_6.5_hpf	390	6.5	stage10
GSM1606189	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_polyA_run1	owens	ClutchA_polyA_7_hpf	420	7.0	stage10
GSM1606190	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_polyA_run1	owens	ClutchA_polyA_7.5_hpf	450	7.5	stage10
GSM1606191	Xenopus_tropicalis_v9.1		stage11	owens_clutchA_polyA_run1	owens	ClutchA_polyA_8_hpf	480	8.0	stage11
GSM1606192	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_8.5_hpf	510	8.5	stage12
GSM1606193	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_9_hpf	540	9.0	stage12
GSM1606194	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_9.5_hpf	570	9.5	stage12
GSM1606195	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_10_hpf	600	10.0	stage12
GSM1606196	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run1	owens	ClutchA_polyA_10.5_hpf	630	10.5	stage12.5
GSM1606197	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run1	owens	ClutchA_polyA_11_hpf	660	11.0	stage12.5
GSM1606198	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run1	owens	ClutchA_polyA_11.5_hpf	690	11.5	stage12.5
GSM1606199	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_polyA_run1	owens	ClutchA_polyA_12_hpf	720	12.0	stage13
GSM1606200	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_polyA_run1	owens	ClutchA_polyA_12.5_hpf	750	12.5	stage13
GSM1606201	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_polyA_run1	owens	ClutchA_polyA_13_hpf	780	13.0	stage13
GSM1606202	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_polyA_run1	owens	ClutchA_polyA_13.5_hpf	810	13.5	stage14
GSM1606203	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_polyA_run1	owens	ClutchA_polyA_14_hpf	840	14.0	stage14
GSM1606204	Xenopus_tropicalis_v9.1		stage15	owens_clutchA_polyA_run1	owens	ClutchA_polyA_14.5_hpf	870	14.5	stage15
GSM1606205	Xenopus_tropicalis_v9.1		stage17	owens_clutchA_polyA_run1	owens	ClutchA_polyA_15_hpf	900	15.0	stage17
GSM1606206	Xenopus_tropicalis_v9.1		stage19	owens_clutchA_polyA_run1	owens	ClutchA_polyA_15.5_hpf	930	15.5	stage19
GSM1606207	Xenopus_tropicalis_v9.1		stage20	owens_clutchA_polyA_run1	owens	ClutchA_polyA_16_hpf	960	16.0	stage20
GSM1606208	Xenopus_tropicalis_v9.1		stage21	owens_clutchA_polyA_run1	owens	ClutchA_polyA_16.5_hpf	990	16.5	stage21
GSM1606209	Xenopus_tropicalis_v9.1		stage21	owens_clutchA_polyA_run1	owens	ClutchA_polyA_17_hpf	1020	17.0	stage21
GSM1606210	Xenopus_tropicalis_v9.1		stage22	owens_clutchA_polyA_run1	owens	ClutchA_polyA_17.5_hpf	1050	17.5	stage22
GSM1606211	Xenopus_tropicalis_v9.1		stage22	owens_clutchA_polyA_run1	owens	ClutchA_polyA_18_hpf	1080	18.0	stage22
GSM1606212	Xenopus_tropicalis_v9.1		stage23	owens_clutchA_polyA_run1	owens	ClutchA_polyA_18.5_hpf	1110	18.5	stage23
GSM1606213	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_polyA_run1	owens	ClutchA_polyA_19_hpf	1140	19.0	stage24
GSM1606214	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_polyA_run1	owens	ClutchA_polyA_19.5_hpf	1170	19.5	stage24
GSM1606215	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_polyA_run1	owens	ClutchA_polyA_20_hpf	1200	20.0	stage24
GSM1606216	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_polyA_run1	owens	ClutchA_polyA_20.5_hpf	1230	20.5	stage24
GSM1606217	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_polyA_run1	owens	ClutchA_polyA_21_hpf	1260	21.0	stage25
GSM1606218	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_polyA_run1	owens	ClutchA_polyA_21.5_hpf	1290	21.5	stage25
GSM1606219	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_polyA_run1	owens	ClutchA_polyA_22_hpf	1320	22.0	stage25
GSM1606220	Xenopus_tropicalis_v9.1		stage26	owens_clutchA_polyA_run1	owens	ClutchA_polyA_22.5_hpf	1350	22.5	stage26
GSM1606221	Xenopus_tropicalis_v9.1		stage26	owens_clutchA_polyA_run1	owens	ClutchA_polyA_23_hpf	1380	23.0	stage26
GSM1606222	Xenopus_tropicalis_v9.1		stage26	owens_clutchA_polyA_run1	owens	ClutchA_polyA_23.5_hpf	1410	23.5	stage26
GSM1606223	Xenopus_tropicalis_v9.1		stage27	owens_clutchA_polyA_run1	owens	ClutchA_polyA_24_hpf	1440	24.0	stage27
GSM1606224	Xenopus_tropicalis_v9.1		stage27	owens_clutchA_polyA_run1	owens	ClutchA_polyA_25_hpf	1500	25.0	stage27
GSM1606225	Xenopus_tropicalis_v9.1		stage27	owens_clutchA_polyA_run1	owens	ClutchA_polyA_26_hpf	1560	26.0	stage27
GSM1606226	Xenopus_tropicalis_v9.1		stage28	owens_clutchA_polyA_run1	owens	ClutchA_polyA_27_hpf	1620	27.0	stage28
GSM1606227	Xenopus_tropicalis_v9.1		stage28	owens_clutchA_polyA_run1	owens	ClutchA_polyA_28_hpf	1680	28.0	stage28
GSM1606228	Xenopus_tropicalis_v9.1		stage30	owens_clutchA_polyA_run1	owens	ClutchA_polyA_29_hpf	1740	29.0	stage30
GSM1606229	Xenopus_tropicalis_v9.1		stage31	owens_clutchA_polyA_run1	owens	ClutchA_polyA_30_hpf	1800	30.0	stage31
GSM1606230	Xenopus_tropicalis_v9.1		stage32	owens_clutchA_polyA_run1	owens	ClutchA_polyA_31_hpf	1860	31.0	stage32
GSM1606231	Xenopus_tropicalis_v9.1		stage32	owens_clutchA_polyA_run1	owens	ClutchA_polyA_32_hpf	1920	32.0	stage32
GSM1606232	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run1	owens	ClutchA_polyA_33_hpf	1980	33.0	stage34
GSM1606233	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run1	owens	ClutchA_polyA_34_hpf	2040	34.0	stage34
GSM1606234	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run1	owens	ClutchA_polyA_35_hpf	2100	35.0	stage34
GSM1606235	Xenopus_tropicalis_v9.1		stage35	owens_clutchA_polyA_run1	owens	ClutchA_polyA_36_hpf	2160	36.0	stage35
GSM1606265	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run2	owens	ClutchA_polyA_11.5_hpf_repeat	690	11.5	stage12.5
GSM1606266	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_polyA_run2	owens	ClutchA_polyA_21.5_hpf_repeat	1290	21.5	stage25
GSM1606267	Xenopus_tropicalis_v9.1		stage31	owens_clutchA_polyA_run2	owens	ClutchA_polyA_30_hpf_repeat	1800	30.0	stage31
GSM1606268	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run2	owens	ClutchA_polyA_33_hpf_repeat	1980	33.0	stage34
GSM1606272	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_5_hpf	300	5.0	stage9
GSM1606274	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_5.5_hpf	330	5.5	stage9
GSM1606275	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_6_hpf	360	6.0	stage9
GSM1606276	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_6.5_hpf	390	6.5	stage10
GSM1606277	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_7_hpf	420	7.0	stage10
GSM1606278	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_7.5_hpf	450	7.5	stage10
GSM1606279	Xenopus_tropicalis_v9.1		stage11	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_8_hpf	480	8.0	stage11
GSM1606280	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_8.5_hpf	510	8.5	stage12
GSM1606281	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_9_hpf	540	9.0	stage12
GSM1606282	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_9.5_hpf	570	9.5	stage12
GSM1606283	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_10_hpf	600	10.0	stage12
GSM1606285	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_10.5_hpf	630	10.5	stage12.5
GSM1606286	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_11_hpf	660	11.0	stage12.5
GSM1606287	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_11.5_hpf	690	11.5	stage12.5
GSM1606288	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_12_hpf	720	12.0	stage13
GSM1606289	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_12.5_hpf	750	12.5	stage13
GSM1606290	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_13_hpf	780	13.0	stage13
GSM1606291	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_13.5_hpf	810	13.5	stage14
GSM1606292	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_14_hpf	840	14.0	stage14
GSM1606293	Xenopus_tropicalis_v9.1		stage15	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_14.5_hpf	870	14.5	stage15
GSM1606294	Xenopus_tropicalis_v9.1		stage17	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_15_hpf	900	15.0	stage17
GSM1606296	Xenopus_tropicalis_v9.1		stage19	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_15.5_hpf	930	15.5	stage19
GSM1606297	Xenopus_tropicalis_v9.1		stage20	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_16_hpf	960	16.0	stage20
GSM1606298	Xenopus_tropicalis_v9.1		stage21	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_16.5_hpf	990	16.5	stage21
GSM1606299	Xenopus_tropicalis_v9.1		stage21	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_17_hpf	1020	17.0	stage21
GSM1606300	Xenopus_tropicalis_v9.1		stage22	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_17.5_hpf	1050	17.5	stage22
GSM1606301	Xenopus_tropicalis_v9.1		stage22	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_18_hpf	1080	18.0	stage22
GSM1606302	Xenopus_tropicalis_v9.1		stage23	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_18.5_hpf	1110	18.5	stage23
GSM1606303	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_19_hpf	1140	19.0	stage24
GSM1606304	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_19.5_hpf	1170	19.5	stage24
GSM1606305	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_20_hpf	1200	20.0	stage24
GSM1606307	Xenopus_tropicalis_v9.1		stage24	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_20.5_hpf	1230	20.5	stage24
GSM1606308	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_21_hpf	1260	21.0	stage25
GSM1606309	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_21.5_hpf	1290	21.5	stage25
GSM1606310	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_22_hpf	1320	22.0	stage25
GSM1606311	Xenopus_tropicalis_v9.1		stage26	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_22.5_hpf	1350	22.5	stage26
GSM1606312	Xenopus_tropicalis_v9.1		stage26	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_23_hpf	1380	23.0	stage26
GSM1606313	Xenopus_tropicalis_v9.1		stage26	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_23.5_hpf	1410	23.5	stage26
GSM1606317	Xenopus_tropicalis_v9.1		stage8	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_4_hpf	240	4.0	stage8
GSM1606318	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_4.5_hpf	270	4.5	stage9
GSM1606327	Xenopus_tropicalis_v9.1		stage8	owens_clutchB_polyA_run1	owens	ClutchB_polyA_4_hpf	240	4.0	stage8
GSM1606328	Xenopus_tropicalis_v9.1		stage9	owens_clutchB_polyA_run1	owens	ClutchB_polyA_4.5_hpf	270	4.5	stage9
GSM1606329	Xenopus_tropicalis_v9.1		stage9	owens_clutchB_polyA_run1	owens	ClutchB_polyA_5_hpf	300	5.0	stage9
GSM1606330	Xenopus_tropicalis_v9.1		stage9	owens_clutchB_polyA_run1	owens	ClutchB_polyA_5.5_hpf	330	5.5	stage9
GSM1606331	Xenopus_tropicalis_v9.1		stage9	owens_clutchB_polyA_run1	owens	ClutchB_polyA_6_hpf	360	6.0	stage9
GSM1606332	Xenopus_tropicalis_v9.1		stage10	owens_clutchB_polyA_run1	owens	ClutchB_polyA_6.5_hpf	390	6.5	stage10
GSM1606333	Xenopus_tropicalis_v9.1		stage10	owens_clutchB_polyA_run1	owens	ClutchB_polyA_7_hpf	420	7.0	stage10
GSM1606334	Xenopus_tropicalis_v9.1		stage10	owens_clutchB_polyA_run1	owens	ClutchB_polyA_7.5_hpf	450	7.5	stage10
GSM1606335	Xenopus_tropicalis_v9.1		stage11	owens_clutchB_polyA_run1	owens	ClutchB_polyA_8_hpf	480	8.0	stage11
GSM1606336	Xenopus_tropicalis_v9.1		stage12	owens_clutchB_polyA_run1	owens	ClutchB_polyA_8.5_hpf	510	8.5	stage12
GSM1606337	Xenopus_tropicalis_v9.1		stage12	owens_clutchB_polyA_run1	owens	ClutchB_polyA_9_hpf	540	9.0	stage12
GSM1606338	Xenopus_tropicalis_v9.1		stage12	owens_clutchB_polyA_run1	owens	ClutchB_polyA_9.5_hpf	570	9.5	stage12
GSM1606339	Xenopus_tropicalis_v9.1		stage12	owens_clutchB_polyA_run1	owens	ClutchB_polyA_10_hpf	600	10.0	stage12
GSM1606340	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchB_polyA_run1	owens	ClutchB_polyA_10.5_hpf	630	10.5	stage12.5
GSM1606341	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchB_polyA_run1	owens	ClutchB_polyA_11_hpf	660	11.0	stage12.5
GSM1606342	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchB_polyA_run1	owens	ClutchB_polyA_11.5_hpf	690	11.5	stage12.5
GSM1606343	Xenopus_tropicalis_v9.1		stage13	owens_clutchB_polyA_run1	owens	ClutchB_polyA_12_hpf	720	12.0	stage13
GSM1606344	Xenopus_tropicalis_v9.1		stage13	owens_clutchB_polyA_run1	owens	ClutchB_polyA_12.5_hpf	750	12.5	stage13
GSM1606345	Xenopus_tropicalis_v9.1		stage13	owens_clutchB_polyA_run1	owens	ClutchB_polyA_13_hpf	780	13.0	stage13
GSM1606346	Xenopus_tropicalis_v9.1		stage14	owens_clutchB_polyA_run1	owens	ClutchB_polyA_13.5_hpf	810	13.5	stage14
GSM1606347	Xenopus_tropicalis_v9.1		stage14	owens_clutchB_polyA_run1	owens	ClutchB_polyA_14_hpf	840	14.0	stage14
GSM1606348	Xenopus_tropicalis_v9.1		stage15	owens_clutchB_polyA_run1	owens	ClutchB_polyA_14.5_hpf	870	14.5	stage15
GSM1606349	Xenopus_tropicalis_v9.1		stage17	owens_clutchB_polyA_run1	owens	ClutchB_polyA_15_hpf	900	15.0	stage17
GSM1606350	Xenopus_tropicalis_v9.1		stage19	owens_clutchB_polyA_run1	owens	ClutchB_polyA_15.5_hpf	930	15.5	stage19
GSM1606351	Xenopus_tropicalis_v9.1		stage20	owens_clutchB_polyA_run1	owens	ClutchB_polyA_16_hpf	960	16.0	stage20
GSM1606352	Xenopus_tropicalis_v9.1		stage21	owens_clutchB_polyA_run1	owens	ClutchB_polyA_16.5_hpf	990	16.5	stage21
GSM1606353	Xenopus_tropicalis_v9.1		stage21	owens_clutchB_polyA_run1	owens	ClutchB_polyA_17_hpf	1020	17.0	stage21
GSM1606354	Xenopus_tropicalis_v9.1		stage22	owens_clutchB_polyA_run1	owens	ClutchB_polyA_17.5_hpf	1050	17.5	stage22
GSM1606355	Xenopus_tropicalis_v9.1		stage22	owens_clutchB_polyA_run1	owens	ClutchB_polyA_18_hpf	1080	18.0	stage22
GSM1606356	Xenopus_tropicalis_v9.1		stage23	owens_clutchB_polyA_run1	owens	ClutchB_polyA_18.5_hpf	1110	18.5	stage23
GSM1606357	Xenopus_tropicalis_v9.1		stage24	owens_clutchB_polyA_run1	owens	ClutchB_polyA_19_hpf	1140	19.0	stage24
GSM1606358	Xenopus_tropicalis_v9.1		stage24	owens_clutchB_polyA_run1	owens	ClutchB_polyA_19.5_hpf	1170	19.5	stage24
GSM1606359	Xenopus_tropicalis_v9.1		stage24	owens_clutchB_polyA_run1	owens	ClutchB_polyA_20_hpf	1200	20.0	stage24
GSM1606360	Xenopus_tropicalis_v9.1		stage24	owens_clutchB_polyA_run1	owens	ClutchB_polyA_20.5_hpf	1230	20.5	stage24
GSM1606361	Xenopus_tropicalis_v9.1		stage25	owens_clutchB_polyA_run1	owens	ClutchB_polyA_21_hpf	1260	21.0	stage25
GSM1606362	Xenopus_tropicalis_v9.1		stage25	owens_clutchB_polyA_run1	owens	ClutchB_polyA_21.5_hpf	1290	21.5	stage25
GSM1606363	Xenopus_tropicalis_v9.1		stage25	owens_clutchB_polyA_run1	owens	ClutchB_polyA_22_hpf	1320	22.0	stage25
GSM1606364	Xenopus_tropicalis_v9.1		stage26	owens_clutchB_polyA_run1	owens	ClutchB_polyA_22.5_hpf	1350	22.5	stage26
GSM1606365	Xenopus_tropicalis_v9.1		stage26	owens_clutchB_polyA_run1	owens	ClutchB_polyA_23_hpf	1380	23.0	stage26
GSM1606366	Xenopus_tropicalis_v9.1		stage26	owens_clutchB_polyA_run1	owens	ClutchB_polyA_23.5_hpf	1410	23.5	stage26
GSM1606367	Xenopus_tropicalis_v9.1		stage27	owens_clutchB_polyA_run1	owens	ClutchB_polyA_24_hpf	1440	24.0	stage27
GSM919922	Xenopus_tropicalis_v9.1		stage9	tan_clutchA	tan	Clutch1_Stage9	300	5.0	stage9
GSM919923	Xenopus_tropicalis_v9.1		stage10	tan_clutchA	tan	Clutch1_Stage10	390	6.5	stage10
GSM919924	Xenopus_tropicalis_v9.1		stage11	tan_clutchA	tan	Clutch1_Stage11-12_Set1	480	8.0	stage11
GSM919925	Xenopus_tropicalis_v9.1		stage11	tan_clutchA	tan	Clutch1_Stage11-12_Set2	480	8.0	stage11
GSM919926	Xenopus_tropicalis_v9.1		stage15	tan_clutchA	tan	Clutch1_Stage15	870	14.5	stage15
GSM919927	Xenopus_tropicalis_v9.1		stage16	tan_clutchA	tan	Clutch1_Stage16-18	900	15.0	stage16
GSM919928	Xenopus_tropicalis_v9.1		stage19	tan_clutchA	tan	Clutch1_Stage19_Set1	930	15.5	stage19
GSM919929	Xenopus_tropicalis_v9.1		stage19	tan_clutchA	tan	Clutch1_Stage19_Set2	930	15.5	stage19
GSM919930	Xenopus_tropicalis_v9.1		stage20	tan_clutchA	tan	Clutch1_Stage20-21	960	16.0	stage20
GSM919931	Xenopus_tropicalis_v9.1		stage22	tan_clutchA	tan	Clutch1_Stage22-23	1050	17.5	stage22
GSM919932	Xenopus_tropicalis_v9.1		stage24	tan_clutchA	tan	Clutch1_Stage24-26	1140	19.0	stage24
GSM919933	Xenopus_tropicalis_v9.1		stage28	tan_clutchA	tan	Clutch1_Stage28	1620	27.0	stage28
GSM919934	Xenopus_tropicalis_v9.1		stage31	tan_clutchA	tan	Clutch1_Stage31-32	1800	30.0	stage31
GSM919935	Xenopus_tropicalis_v9.1		stage33	tan_clutchA	tan	Clutch1_Stage33-34	1980	33.0	stage33
GSM919943	Xenopus_tropicalis_v9.1		stage8	tan_clutchB	tan	Clutch2_Stage8	240	4.0	stage8
GSM919944	Xenopus_tropicalis_v9.1		stage9	tan_clutchB	tan	Clutch2_Stage9	300	5.0	stage9
GSM919945	Xenopus_tropicalis_v9.1		stage10	tan_clutchB	tan	Clutch2_Stage10	390	6.5	stage10
GSM919946	Xenopus_tropicalis_v9.1		stage11	tan_clutchB	tan	Clutch2_Stage11-12	480	8.0	stage11
GSM919947	Xenopus_tropicalis_v9.1		stage13	tan_clutchB	tan	Clutch2_Stage13-14_Set1	720	12.0	stage13
GSM919948	Xenopus_tropicalis_v9.1		stage13	tan_clutchB	tan	Clutch2_Stage13-14_Set2	720	12.0	stage13
GSM919949	Xenopus_tropicalis_v9.1		stage16	tan_clutchB	tan	Clutch2_Stage16-18	900	15.0	stage16
GSM919950	Xenopus_tropicalis_v9.1		stage19	tan_clutchB	tan	Clutch2_Stage19	930	15.5	stage19
GSM919951	Xenopus_tropicalis_v9.1		stage20	tan_clutchB	tan	Clutch2_Stage20-21	960	16.0	stage20
GSM919952	Xenopus_tropicalis_v9.1		stage22	tan_clutchB	tan	Clutch2_Stage22-23	1050	17.5	stage22
GSM919953	Xenopus_tropicalis_v9.1		stage24	tan_clutchB	tan	Clutch2_Stage24-26_Set1	1140	19.0	stage24
GSM919954	Xenopus_tropicalis_v9.1		stage24	tan_clutchB	tan	Clutch2_Stage24-26_Set2	1140	19.0	stage24
GSM919955	Xenopus_tropicalis_v9.1		stage28	tan_clutchB	tan	Clutch2_Stage28	1620	27.0	stage28
GSM919956	Xenopus_tropicalis_v9.1		stage31	tan_clutchB	tan	Clutch2_Stage31-32	1800	30.0	stage31
GSM919957	Xenopus_tropicalis_v9.1		stage33	tan_clutchB	tan	Clutch2_Stage33-34	1980	33.0	stage33
